,Algorithm,Num_Terminals,Wirelength,Num Steiner Points,CPU Time
936,flute,72.0,65381.0,70.0,0.005936
937,flute,14.0,24466.0,12.0,4.4e-05
938,flute,79.0,67945.0,77.0,0.002878
939,flute,57.0,57177.0,55.0,0.002089
940,flute,90.0,74712.0,88.0,0.004018
941,flute,91.0,65565.0,89.0,0.004238
942,flute,20.0,32893.0,18.0,0.000344
943,flute,20.0,28751.0,18.0,0.000276
944,flute,105.0,79566.0,103.0,0.007149
945,flute,109.0,80993.0,107.0,0.004594
946,flute,87.0,72271.0,85.0,0.005354
947,flute,44.0,50798.0,42.0,0.001377
948,flute,19.0,34196.0,17.0,0.00025
949,flute,70.0,61137.0,68.0,0.001582
950,flute,86.0,71180.0,84.0,0.006421
951,flute,31.0,39006.0,29.0,0.000523
952,flute,19.0,33809.0,17.0,0.000215
953,flute,108.0,75932.0,106.0,0.005404
954,flute,67.0,54852.0,65.0,0.003043
955,flute,87.0,71106.0,85.0,0.00359
956,flute,27.0,39275.0,25.0,0.000764
957,flute,84.0,69239.0,82.0,0.004077
958,flute,81.0,66240.0,79.0,0.002667
959,flute,11.0,16438.0,9.0,1e-05
960,flute,42.0,46649.0,40.0,0.001377
961,flute,34.0,43510.0,32.0,0.000776
962,flute,30.0,41843.0,28.0,0.000376
963,flute,9.0,24994.0,7.0,2e-06
964,flute,61.0,57341.0,59.0,0.001085
965,flute,58.0,58389.0,56.0,0.001936
966,flute,62.0,55211.0,60.0,0.001582
967,flute,31.0,39688.0,29.0,0.000987
968,flute,40.0,44716.0,38.0,0.001103
969,flute,54.0,54864.0,52.0,0.001472
970,flute,84.0,63183.0,82.0,0.003604
971,flute,20.0,30664.0,18.0,0.000314
972,flute,18.0,32650.0,16.0,0.000181
973,flute,60.0,54330.0,58.0,0.002738
974,flute,61.0,60463.0,59.0,0.003321
975,flute,28.0,39653.0,26.0,0.000521
976,flute,53.0,53985.0,51.0,0.001664
977,flute,114.0,77968.0,112.0,0.005659
978,flute,68.0,59446.0,66.0,0.003519
979,flute,80.0,69065.0,78.0,0.003082
980,flute,69.0,65930.0,67.0,0.003189
981,flute,107.0,74197.0,105.0,0.005039
982,flute,49.0,53198.0,47.0,0.001725
983,flute,51.0,50613.0,49.0,0.000812
984,flute,90.0,69133.0,88.0,0.006069
985,flute,118.0,83071.0,116.0,0.008633
986,flute,119.0,83994.0,117.0,0.004701
987,flute,24.0,36329.0,22.0,0.000536
988,flute,115.0,81741.0,113.0,0.00519
989,flute,38.0,47664.0,36.0,0.000545
990,flute,51.0,53664.0,49.0,0.001818
991,flute,54.0,54542.0,52.0,0.001186
992,flute,64.0,59025.0,62.0,0.004272
993,flute,94.0,73285.0,92.0,0.00397
994,flute,116.0,80250.0,114.0,0.008935
995,flute,106.0,78541.0,104.0,0.00485
996,flute,27.0,37180.0,25.0,0.000834
997,flute,33.0,46177.0,31.0,0.001044
998,flute,42.0,48341.0,40.0,0.002033
999,flute,96.0,71604.0,94.0,0.006547
1000,flute,51.0,51605.0,49.0,0.003519
1001,flute,85.0,68359.0,83.0,0.00343
1002,flute,28.0,38768.0,26.0,0.000409
1003,flute,32.0,43315.0,30.0,0.001393
1004,flute,113.0,79406.0,111.0,0.006379
1005,flute,112.0,76421.0,110.0,0.004303
1006,flute,12.0,24656.0,10.0,2.1e-05
1007,flute,58.0,55487.0,56.0,0.003847
1008,flute,65.0,62617.0,63.0,0.002354
1009,flute,85.0,70577.0,83.0,0.00372
1010,flute,44.0,49358.0,42.0,0.001126
1011,flute,25.0,38272.0,23.0,0.000501
1012,flute,28.0,38127.0,26.0,0.000535
1013,flute,102.0,76539.0,100.0,0.00342
