,terminals,flute_wl,flute_nsps,flute_ct,geosteiner_wl,geosteiner_nsps,geosteiner_ct,cockayne_wl,cockayne_nsps,cockayne_ct
27771,12,22643.0,10.0,1.9e-05,22643.0,10.0,0.00035,22643.0,10.0,0.391344
27772,12,29982.0,10.0,1.7e-05,29982.0,10.0,0.000196,29982.0,10.0,0.315193
27773,12,26463.0,10.0,2e-05,26463.0,10.0,0.00023,26463.0,10.0,0.268556
27774,12,30021.0,10.0,2e-05,30021.0,10.0,0.000179,30021.0,10.0,0.289137
27775,12,29222.0,10.0,1.8e-05,29222.0,10.0,0.000232,29222.0,10.0,0.245711
27776,12,25083.0,10.0,2.2e-05,25083.0,10.0,0.000195,25083.0,10.0,0.300723
27777,12,24196.0,10.0,2e-05,24151.0,10.0,0.000284,24151.0,10.0,0.356147
27778,12,24524.0,10.0,1.7e-05,24524.0,9.0,0.000246,24524.0,10.0,0.221892
27779,12,28135.0,10.0,2.3e-05,28097.0,10.0,0.00025,28097.0,10.0,0.384774
27780,12,26578.0,10.0,1.8e-05,26578.0,10.0,0.000208,26578.0,10.0,0.294301
27781,12,20515.0,10.0,1.8e-05,20515.0,10.0,0.000199,20515.0,10.0,0.234466
27782,12,25191.0,10.0,1.7e-05,25191.0,10.0,0.000126,25191.0,10.0,0.22343
27783,12,23782.0,10.0,1.4e-05,23782.0,10.0,0.000208,23782.0,10.0,0.244274
27784,12,28893.0,10.0,2.2e-05,28893.0,10.0,0.000313,28893.0,10.0,0.489535
27785,12,20272.0,10.0,5e-06,20272.0,10.0,0.000315,20272.0,11.0,0.319579
27786,12,24654.0,10.0,1.9e-05,24654.0,10.0,0.000145,24654.0,10.0,0.306658
27787,12,28035.0,10.0,1.8e-05,27907.0,10.0,0.000278,27907.0,10.0,0.259028
27788,12,26782.0,10.0,1.3e-05,26782.0,10.0,0.000135,26782.0,10.0,0.139301
27789,12,25235.0,10.0,5e-06,25235.0,10.0,0.000295,25235.0,10.0,0.248028
27790,12,27254.0,10.0,1.9e-05,27254.0,10.0,0.00017,27254.0,10.0,0.42614
27791,12,28341.0,10.0,1.3e-05,28341.0,10.0,0.000137,28341.0,10.0,0.327475
27792,12,25685.0,10.0,1.2e-05,25685.0,10.0,0.000227,25685.0,10.0,0.252597
27793,12,26656.0,10.0,1.9e-05,26656.0,10.0,0.00031,26656.0,10.0,0.421378
